device_info_serial,date_time,latitude,longitude
2159,12/04/2016 16:54,-33.8575346,121.8665195
2159,14/04/2016 1:22,-33.8434071,121.8494026
2159,14/04/2016 1:37,-33.845226,121.8482056
2159,14/04/2016 1:53,-33.8453779,121.8470139
2159,14/04/2016 2:08,-33.8458456,121.8467911
2159,14/04/2016 2:23,-33.8465043,121.8468168
2159,14/04/2016 2:38,-33.8467589,121.846796
2159,14/04/2016 2:52,-33.8468435,121.8467932
2159,14/04/2016 3:07,-33.8474506,121.8468681
2159,14/04/2016 3:22,-33.8474647,121.8483206
2159,14/04/2016 3:38,-33.8471515,121.8482074
2159,14/04/2016 3:53,-33.8441683,121.8513437
2159,14/04/2016 4:10,-33.8438301,121.8510257
2159,14/04/2016 4:25,-33.8438908,121.8509876
2159,14/04/2016 4:40,-33.84348,121.8513923
2159,14/04/2016 4:55,-33.8435398,121.8513572
2159,14/04/2016 5:10,-33.8436207,121.851388
2159,14/04/2016 5:25,-33.8436355,121.8511692
2159,14/04/2016 5:40,-33.8446449,121.8517566
2159,14/04/2016 5:55,-33.844849,121.8518695
2159,14/04/2016 6:10,-33.8397896,121.860793
2159,14/04/2016 6:25,-33.8397785,121.8608891
2159,14/04/2016 6:40,-33.8395853,121.8612551
2159,14/04/2016 6:56,-33.8403837,121.8617486
2159,14/04/2016 7:11,-33.8404805,121.8610209
2159,14/04/2016 7:26,-33.8441017,121.8564981
2159,14/04/2016 7:41,-33.8434676,121.8578808
2159,14/04/2016 7:56,-33.8404108,121.8607135
2159,14/04/2016 8:11,-33.8404406,121.8607175
2159,14/04/2016 8:26,-33.8404023,121.8606794
2159,14/04/2016 8:41,-33.8411551,121.8610134
2159,14/04/2016 8:56,-33.8414798,121.8627962
2159,14/04/2016 9:11,-33.8404685,121.8641146
2159,14/04/2016 9:27,-33.8572793,121.8668598
2159,14/04/2016 9:42,-33.8574611,121.8691254
2159,14/04/2016 9:57,-33.8572974,121.869422
2159,14/04/2016 10:12,-33.8586419,121.8695473
2159,14/04/2016 10:27,-33.858621,121.8695759
2159,14/04/2016 10:57,-33.858647,121.8695686
2159,14/04/2016 11:28,-33.8586218,121.8696703
2159,14/04/2016 11:58,-33.8586526,121.8695666
2159,14/04/2016 12:28,-33.8586583,121.8695518
2159,14/04/2016 12:57,-33.8586463,121.869431
2159,14/04/2016 13:28,-33.8585945,121.8694639
2159,14/04/2016 13:59,-33.8586807,121.8696972
2159,14/04/2016 14:29,-33.8586162,121.8696319
2159,14/04/2016 14:59,-33.8586022,121.8697325
2159,14/04/2016 15:30,-33.8585912,121.8693996
2159,14/04/2016 16:00,-33.8586368,121.8695769
2159,14/04/2016 16:30,-33.8584409,121.8695609
2159,14/04/2016 17:01,-33.8586443,121.8696682
2159,14/04/2016 17:31,-33.8586408,121.8695298
2159,14/04/2016 18:01,-33.8586215,121.8696936
2159,14/04/2016 18:32,-33.8587944,121.8692989
2159,14/04/2016 19:02,-33.8586129,121.8695352
2159,14/04/2016 19:32,-33.8586853,121.8695434
2159,14/04/2016 20:04,-33.8583781,121.8696173
2159,14/04/2016 20:35,-33.8586239,121.8695215
2159,14/04/2016 21:05,-33.8587363,121.8694938
2159,14/04/2016 21:30,-33.85875,121.8695011
2159,14/04/2016 21:45,-33.8580492,121.8693213
2159,14/04/2016 22:00,-33.8575557,121.8671097
2159,14/04/2016 22:15,-33.8546998,121.8649183
2159,14/04/2016 22:30,-33.8436705,121.8602103
2159,14/04/2016 22:45,-33.8436062,121.8599672
2159,14/04/2016 23:00,-33.8404483,121.860879
2159,14/04/2016 23:15,-33.8405045,121.8604854
2159,14/04/2016 23:31,-33.8406034,121.860513
2159,14/04/2016 23:46,-33.8402083,121.8606816
2159,15/04/2016 0:01,-33.8395988,121.8618029
2159,15/04/2016 0:16,-33.8396111,121.8618533
2159,15/04/2016 0:31,-33.8377815,121.8597992
2159,15/04/2016 0:46,-33.8371081,121.8589133
2159,15/04/2016 1:01,-33.8364806,121.8583912
2159,15/04/2016 1:16,-33.8361028,121.8592687
2159,15/04/2016 1:32,-33.8373256,121.8602706
2159,15/04/2016 1:47,-33.8378028,121.860937
2159,15/04/2016 2:02,-33.8388209,121.8607931
2159,15/04/2016 2:17,-33.838209,121.8597673
2159,15/04/2016 2:31,-33.8428745,121.8500134
2159,15/04/2016 2:47,-33.8475304,121.8503151
2159,15/04/2016 3:02,-33.847481,121.8503494
2159,15/04/2016 3:17,-33.8474207,121.8516863
2159,15/04/2016 3:32,-33.8460804,121.8518487
2159,15/04/2016 3:47,-33.8455507,121.8519556
2159,15/04/2016 4:02,-33.8446385,121.8512751
2159,15/04/2016 4:17,-33.835347,121.8574592
2159,15/04/2016 4:32,-33.8359722,121.8574259
2159,15/04/2016 4:47,-33.8386206,121.855666
2159,15/04/2016 5:02,-33.8384422,121.8560282
2159,15/04/2016 5:17,-33.8384272,121.8560522
2159,15/04/2016 5:32,-33.8384348,121.8560697
2159,15/04/2016 5:47,-33.8393998,121.8572682
2159,15/04/2016 6:02,-33.841709,121.8505411
2159,15/04/2016 6:18,-33.8425189,121.8490527
2159,15/04/2016 6:33,-33.842679,121.849041
2159,15/04/2016 6:48,-33.8356071,121.8594112
2159,15/04/2016 7:04,-33.8406257,121.8614211
2159,15/04/2016 7:19,-33.8416805,121.8638409
2159,15/04/2016 7:34,-33.8386341,121.8638556
2159,15/04/2016 7:49,-33.846634,121.8589041
2159,15/04/2016 8:04,-33.8628256,121.8546724
2159,15/04/2016 8:19,-33.8628211,121.8546789
2159,15/04/2016 8:34,-33.8627023,121.8545777
2159,15/04/2016 8:48,-33.8626723,121.854582
